model,RMSE,MAE,MAPE (%),R2
decomposition_baseline,676741.032658995,535680.0792837486,126.71,0.6844
gradient_boosting,415486.33922768617,223191.90367733387,51.48,0.7902
neural_network,1030059.9344252956,607635.5614381701,612.25,-0.2893
